"ward_code","ward_name","usual_res_16_over","level_4_above","pc_highly_educated","total_crimes","total_estimated_jobs","pc_knowledge_jobs","total_schools","avg_price"
"E05010885","Ashley",17125,9627,56.2160583941606,372.2,10115,48.69,10,528412
"E05010886","Avonmouth & Lawrence Weston",18500,3959,21.4,357.2,19910,12.51,14,458312
"E05010887","Bedminster",10971,5343,48.7011211375444,229.4,10190,15.11,5,514724
"E05010888","Bishopston & Ashley Down",12200,8320,68.2,198.2,3260,16.41,2,468196
"E05010889","Bishopsworth",9983,2826,28.3081238104778,304.9,7355,63.7,5,365213
"E05010890","Brislington East",9788,3429,35.032693093584,265.3,5610,38.06,9,335836
"E05010891","Brislington West",9832,3993,40.6122864117168,360.6,6875,23.35,4,342524
"E05010892","Central",17233,7335,42.5636859513724,1085.8,119375,52.98,5,1085824
"E05010893","Clifton",11885,7116,59.8737904922171,187,7960,34.55,4,667567
"E05010894","Clifton Down",10611,6159,58.043539722929,154.1,7360,52.99,2,570696
"E05010895","Cotham",10564,6254,59.201060204468,151.3,1895,32.45,3,463007
"E05010896","Easton",11706,5866,50.1110541602597,321.8,2485,15.49,6,368583
"E05010897","Eastville",12172,4883,40.1166611896155,402.8,2990,12.54,7,283950
"E05010898","Filwood",11048,2601,23.5427226647357,360.3,3205,18.1,8,278699
"E05010904","Horfield",11509,5179,44.9995655573899,303.4,13700,3.83,6,386862
"E05010905","Hotwells & Harbourside",9700,6295,64.9,818.6,15185,63.55,4,1053252
"E05010906","Knowle",11087,4125,37.2057364480924,223,2325,15.48,4,389635
"E05010907","Lawrence Hill",15008,5626,37.4866737739872,590.1,18775,31.03,11,890939
"E05010908","Lockleaze",10694,3866,36.1511127735179,397.4,3860,19.04,7,331592
"E05010909","Redland",10840,7255,66.9280442804428,142.6,3660,43.03,3,617093
"E05010910","St George Central",10623,3530,33.2297844300104,236.2,2745,9.65,2,304296
"E05010911","St George Troopers Hill",5390,1744,32.3562152133581,152.6,6240,21.63,0,308659
"E05010912","St George West",5770,2748,47.6256499133449,361,2025,26.67,3,314069
"E05010913","Southmead",10431,3199,30.6682005560349,304.7,565,12.39,5,295550
"E05010914","Southville",11038,6750,61.1523826780214,409.5,1810,14.64,5,377936
"E05010915","Stockwood",9768,2201,22.53276003276,281.4,1275,9.8,5,407500
"E05010916","Stoke Bishop",11088,4791,43.2088744588745,148.9,2260,40.27,3,725975
"E05010917","Westbury-on-Trym & Henleaze",15400,9209,59.8,161.8,7550,26.49,11,611710
"E05010918","Windmill Hill",11542,6573,56.9485357823601,183.4,1395,27.24,3,383093
