ward_code,ward_name,sale_year,total_sales,avg_price,med_price,total_crimes,avg_crimes_typed,usual_res_16_over,level_4_above,pc_highly_educated,total_estimated_jobs,pc_knowledge_jobs,total_schools
E05010885,Ashley,2016,344,328719,280000,253.39999999999998,63.349999999999994,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2017,401,387993,285000,240,60,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2018,380,322211,262000,218.3,54.575,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2019,293,363149,307500,218.4,54.6,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2020,254,538646,339200,359.8,18.936842105263157,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2021,466,470141,350000,341.1,17.95263157894737,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2022,465,374047,335950,348.1,18.321052631578947,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2023,306,418572,375000,349.9,18.41578947368421,17125,9627,56.216058394160584,10115,48.69,10
E05010885,Ashley,2024,292,528412,340000,372.2,19.589473684210525,17125,9627,56.216058394160584,10115,48.69,10
E05010887,Bedminster,2016,360,263030,265500,137,34.25,10971,5343,48.70112113754443,10190,15.11,5
E05010887,Bedminster,2017,279,283583,282500,137.5,34.375,10971,5343,48.70112113754443,10190,15.11,5
E05010887,Bedminster,2018,299,543738,290000,131.79999999999998,32.949999999999996,10971,5343,48.70112113754443,10190,15.11,5
E05010887,Bedminster,2019,296,337914,286500,148,37,10971,5343,48.70112113754443,10190,15.11,5
E05010887,Bedminster,2020,301,311306,310000,218,11.473684210526315,10971,5343,48.70112113754443,10190,15.11,5
E05010887,Bedminster,2021,402,331011,336500,233.3,12.278947368421052,10971,5343,48.70112113754443,10190,15.11,5
E05010887,Bedminster,2022,277,384181,375000,227.3,11.963157894736842,10971,5343,48.70112113754443,10190,15.11,5
E05010887,Bedminster,2023,243,360583,360000,226.8,11.936842105263159,10971,5343,48.70112113754443,10190,15.11,5
